Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
1,3744002,MobyDick-217452,Paralelo,4
2,1396472,MobyDick-217452,Paralelo,4
3,880949,MobyDick-217452,Paralelo,4
4,1116520,MobyDick-217452,Paralelo,4
5,1631732,MobyDick-217452,Paralelo,4
6,1443312,MobyDick-217452,Paralelo,4
7,2124634,MobyDick-217452,Paralelo,4
8,911090,MobyDick-217452,Paralelo,4
9,1318295,MobyDick-217452,Paralelo,4
10,947272,MobyDick-217452,Paralelo,4
11,998210,MobyDick-217452,Paralelo,4
12,1249591,MobyDick-217452,Paralelo,4
13,852014,MobyDick-217452,Paralelo,4
14,1120537,MobyDick-217452,Paralelo,4
15,1441448,MobyDick-217452,Paralelo,4
16,1027079,MobyDick-217452,Paralelo,4
17,917231,MobyDick-217452,Paralelo,4
18,928725,MobyDick-217452,Paralelo,4
19,949794,MobyDick-217452,Paralelo,4
20,52384772,MobyDick-217452,Paralelo,4
21,1162458,MobyDick-217452,Paralelo,4
22,1275383,MobyDick-217452,Paralelo,4
23,1830054,MobyDick-217452,Paralelo,4
24,1362329,MobyDick-217452,Paralelo,4
25,709004,MobyDick-217452,Paralelo,4
26,770241,MobyDick-217452,Paralelo,4
27,746298,MobyDick-217452,Paralelo,4
28,1176238,MobyDick-217452,Paralelo,4
29,1164990,MobyDick-217452,Paralelo,4
30,610038,MobyDick-217452,Paralelo,4
31,622376,MobyDick-217452,Paralelo,4
32,627138,MobyDick-217452,Paralelo,4
33,699508,MobyDick-217452,Paralelo,4
34,869664,MobyDick-217452,Paralelo,4
35,881285,MobyDick-217452,Paralelo,4
36,547990,MobyDick-217452,Paralelo,4
37,738652,MobyDick-217452,Paralelo,4
38,470874,MobyDick-217452,Paralelo,4
39,529956,MobyDick-217452,Paralelo,4
40,602851,MobyDick-217452,Paralelo,4
41,635910,MobyDick-217452,Paralelo,4
42,704971,MobyDick-217452,Paralelo,4
43,701948,MobyDick-217452,Paralelo,4
44,634265,MobyDick-217452,Paralelo,4
45,687054,MobyDick-217452,Paralelo,4
46,769523,MobyDick-217452,Paralelo,4
47,583824,MobyDick-217452,Paralelo,4
48,610357,MobyDick-217452,Paralelo,4
49,603592,MobyDick-217452,Paralelo,4
50,1125984,MobyDick-217452,Paralelo,4
